=== tuning batch: world 66, tag "00_baseline" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.33 s   2*OT clip 10.66 s
AT  min 18.2  median 21.5  max 49.9  sd 11.5
AT/OT median 4.03   trials above the 2*OT clip: 10/10
MEAN SCORE 0.2263   (ceiling for this success rate: 0.5000)
per-trial: 22 21 49 19 26 19 20 50 28 18

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             2             2             0             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             1             1             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             1             1             0             0             0
  trial_8.log             3             3             0             0             0
  trial_9.log             2             2             1             0             0
  trial_10.log             0             0             0             0             0
