=== tuning batch: world 66, tag "150_curvature_fix" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.33 s   2*OT clip 10.66 s
AT  min 13.8  median 15.5  max 44.6  sd 8.8
AT/OT median 2.90   trials above the 2*OT clip: 10/10
MEAN SCORE 0.3262   (ceiling for this success rate: 0.5000)
per-trial: 45 16 15 15 17 16 16 15 14 14

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             3             4             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             0             0             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             0             0             0             0             0
