=== tuning batch: world 210, tag "00_baseline" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.27 s   2*OT clip 10.54 s
AT  min 13.0  median 16.5  max 35.2  sd 6.3
AT/OT median 3.13   trials above the 2*OT clip: 10/10
MEAN SCORE 0.2993   (ceiling for this success rate: 0.5000)
per-trial: 20 17 15 15 35 14 13 16 22 24

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             1             1             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             1             1             0             0             0
  trial_10.log             0             0             0             0             0
