=== tuning batch: world 114, tag "170_minor_regression" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 6.26 s   2*OT clip 12.52 s
AT  min 8.8  median 9.2  max 10.4  sd 0.5
AT/OT median 1.48   trials above the 2*OT clip: 0/10
MEAN SCORE 0.5000   (ceiling for this success rate: 0.5000)
per-trial: 9 10 9 9 10 9 9 10 10 9

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             0             0             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             0             0             0             0             0
