=== tuning batch: world 198, tag "minor_10" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.68 s   2*OT clip 11.36 s
AT  min 8.5  median 12.3  max 17.5  sd 2.9
AT/OT median 2.16   trials above the 2*OT clip: 6/10
MEAN SCORE 0.4355   (ceiling for this success rate: 0.5000)
per-trial: 13 10 10 16 18 12 8 15 10 15

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             1             1             0             0             0
  trial_5.log             1             1             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             0             0             0             0             0
