=== tuning batch: world 180, tag "minor_10" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.68 s   2*OT clip 11.35 s
AT  min 14.0  median 20.2  max 28.7  sd 5.0
AT/OT median 3.56   trials above the 2*OT clip: 10/10
MEAN SCORE 0.2855   (ceiling for this success rate: 0.5000)
per-trial: 17 27 19 14 17 22 29 16 26 25

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             0             0             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             1             1             1             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             1             1             1             0             0
