=== tuning batch: world 234, tag "minor_10" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.39 s   2*OT clip 10.77 s
AT  min 11.0  median 14.2  max 15.9  sd 1.5
AT/OT median 2.64   trials above the 2*OT clip: 10/10
MEAN SCORE 0.3919   (ceiling for this success rate: 0.5000)
per-trial: 15 15 13 11 13 14 12 16 15 14

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             0             0             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             0             0             0             0             0
